section,mode,metric,estimate,ci_low,ci_high,confidence,resamples,sample_size
retrieval,fts_bm25,mrr,0.4886,0.3694,0.6109,0.95,10000,50
retrieval,fts_bm25,recall_at_5,0.56,0.42,0.7,0.95,10000,50
retrieval,fts_bm25,recall_at_10,0.68,0.54,0.8,0.95,10000,50
retrieval,fts_bm25,recall_at_20,0.76,0.64,0.88,0.95,10000,50
retrieval,fts_bm25,ndcg_at_5,0.4894,0.3605,0.6173,0.95,10000,50
retrieval,fts_bm25,ndcg_at_10,0.5296,0.4097,0.6471,0.95,10000,50
retrieval,rerank_dense_top30,mrr,0.5622,0.4366,0.6835,0.95,10000,50
retrieval,rerank_dense_top30,recall_at_5,0.66,0.52,0.78,0.95,10000,50
retrieval,rerank_dense_top30,recall_at_10,0.72,0.6,0.84,0.95,10000,50
retrieval,rerank_dense_top30,recall_at_20,0.72,0.6,0.84,0.95,10000,50
retrieval,rerank_dense_top30,ndcg_at_5,0.5812,0.4536,0.7018,0.95,10000,50
retrieval,rerank_dense_top30,ndcg_at_10,0.6002,0.4805,0.7161,0.95,10000,50
retrieval,rerank_fts_top30,mrr,0.6052,0.4789,0.7282,0.95,10000,50
retrieval,rerank_fts_top30,recall_at_5,0.64,0.5,0.76,0.95,10000,50
retrieval,rerank_fts_top30,recall_at_10,0.7,0.58,0.82,0.95,10000,50
retrieval,rerank_fts_top30,recall_at_20,0.74,0.62,0.86,0.95,10000,50
retrieval,rerank_fts_top30,ndcg_at_5,0.6056,0.473,0.733,0.95,10000,50
retrieval,rerank_fts_top30,ndcg_at_10,0.6257,0.5018,0.747,0.95,10000,50
retrieval,rerank_hybrid_rrf_top30,mrr,0.5842,0.4592,0.7064,0.95,10000,50
retrieval,rerank_hybrid_rrf_top30,recall_at_5,0.66,0.52,0.78,0.95,10000,50
retrieval,rerank_hybrid_rrf_top30,recall_at_10,0.72,0.6,0.84,0.95,10000,50
retrieval,rerank_hybrid_rrf_top30,recall_at_20,0.74,0.62,0.86,0.95,10000,50
retrieval,rerank_hybrid_rrf_top30,ndcg_at_5,0.5969,0.4717,0.7209,0.95,10000,50
retrieval,rerank_hybrid_rrf_top30,ndcg_at_10,0.6165,0.4944,0.7314,0.95,10000,50
retrieval,st_dense,mrr,0.4326,0.3092,0.5555,0.95,10000,50
retrieval,st_dense,recall_at_5,0.52,0.38,0.66,0.95,10000,50
retrieval,st_dense,recall_at_10,0.64,0.5,0.76,0.95,10000,50
retrieval,st_dense,recall_at_20,0.68,0.54,0.8,0.95,10000,50
retrieval,st_dense,ndcg_at_5,0.4402,0.315,0.5688,0.95,10000,50
retrieval,st_dense,ndcg_at_10,0.4791,0.3636,0.6001,0.95,10000,50
retrieval,st_hybrid_rrf,mrr,0.523,0.4012,0.6487,0.95,10000,50
retrieval,st_hybrid_rrf,recall_at_5,0.62,0.48,0.7405,0.95,10000,50
retrieval,st_hybrid_rrf,recall_at_10,0.7,0.58,0.82,0.95,10000,50
retrieval,st_hybrid_rrf,recall_at_20,0.74,0.62,0.86,0.95,10000,50
retrieval,st_hybrid_rrf,ndcg_at_5,0.5377,0.4112,0.6643,0.95,10000,50
retrieval,st_hybrid_rrf,ndcg_at_10,0.5632,0.4408,0.6817,0.95,10000,50
retrieval,st_hybrid_weighted_v0.50,mrr,0.5012,0.3806,0.6246,0.95,10000,50
retrieval,st_hybrid_weighted_v0.50,recall_at_5,0.6,0.46,0.74,0.95,10000,50
retrieval,st_hybrid_weighted_v0.50,recall_at_10,0.7,0.56,0.82,0.95,10000,50
retrieval,st_hybrid_weighted_v0.50,recall_at_20,0.72,0.6,0.84,0.95,10000,50
retrieval,st_hybrid_weighted_v0.50,ndcg_at_5,0.5149,0.3867,0.6416,0.95,10000,50
retrieval,st_hybrid_weighted_v0.50,ndcg_at_10,0.5465,0.4281,0.6656,0.95,10000,50
retrieval,st_hybrid_weighted_v0.75,mrr,0.4629,0.3396,0.5877,0.95,10000,50
retrieval,st_hybrid_weighted_v0.75,recall_at_5,0.58,0.44,0.72,0.95,10000,50
retrieval,st_hybrid_weighted_v0.75,recall_at_10,0.64,0.5,0.78,0.95,10000,50
retrieval,st_hybrid_weighted_v0.75,recall_at_20,0.72,0.6,0.84,0.95,10000,50
retrieval,st_hybrid_weighted_v0.75,ndcg_at_5,0.4814,0.3572,0.6043,0.95,10000,50
retrieval,st_hybrid_weighted_v0.75,ndcg_at_10,0.5017,0.3788,0.6201,0.95,10000,50
generation,dense_rag,correctness,1.7667,1.5667,1.9333,0.95,10000,30
generation,dense_rag,faithfulness,1.8667,1.7333,1.9667,0.95,10000,30
generation,dense_rag,completeness,1.8333,1.6333,2.0,0.95,10000,30
generation,dense_rag,unsupported_claim_rate,0.0199,0.0047,0.0402,0.95,10000,40
generation,dense_rag,citation_precision,0.9819,0.9602,1.0,0.95,10000,30
generation,dense_rag,abstention_accuracy,1.0,1.0,1.0,0.95,10000,10
generation,hybrid_reranked_rag,correctness,1.8667,1.7333,1.9667,0.95,10000,30
generation,hybrid_reranked_rag,faithfulness,1.8667,1.7333,1.9667,0.95,10000,30
generation,hybrid_reranked_rag,completeness,1.9333,1.8333,2.0,0.95,10000,30
generation,hybrid_reranked_rag,unsupported_claim_rate,0.0201,0.0048,0.0405,0.95,10000,40
generation,hybrid_reranked_rag,citation_precision,0.9758,0.9516,0.9942,0.95,10000,30
generation,hybrid_reranked_rag,abstention_accuracy,1.0,1.0,1.0,0.95,10000,10
generation,llm_only,correctness,1.4667,1.2333,1.6667,0.95,10000,30
generation,llm_only,faithfulness,1.6333,1.3667,1.8667,0.95,10000,30
generation,llm_only,completeness,1.4,1.1667,1.6333,0.95,10000,30
generation,llm_only,unsupported_claim_rate,0.2685,0.1089,0.4381,0.95,10000,40
generation,llm_only,abstention_accuracy,0.7,0.4,1.0,0.95,10000,10
image_qa,basic_metadata,caption_coverage,1.75,1.5,2.0,0.95,10000,12
image_qa,basic_metadata,citation_quality,1.8333,1.5833,2.0,0.95,10000,12
image_qa,basic_metadata,response_structure,2.0,2.0,2.0,0.95,10000,12
image_qa,basic_metadata,source_recall_at_5,0.9167,0.75,1.0,0.95,10000,12
image_qa,basic_metadata,unsupported_visual_inference_rate,0.0833,0.0,0.25,0.95,10000,12
image_qa,text_only,caption_coverage,1.5833,1.1667,1.9167,0.95,10000,12
image_qa,text_only,citation_quality,1.8333,1.5833,2.0,0.95,10000,12
image_qa,text_only,response_structure,1.9167,1.75,2.0,0.95,10000,12
image_qa,text_only,source_recall_at_5,0.9167,0.75,1.0,0.95,10000,12
image_qa,text_only,unsupported_visual_inference_rate,0.1667,0.0,0.4167,0.95,10000,12
image_qa,vision_summary,caption_coverage,1.75,1.3333,2.0,0.95,10000,12
image_qa,vision_summary,citation_quality,1.9167,1.75,2.0,0.95,10000,12
image_qa,vision_summary,response_structure,2.0,2.0,2.0,0.95,10000,12
image_qa,vision_summary,source_recall_at_5,0.9167,0.75,1.0,0.95,10000,12
image_qa,vision_summary,unsupported_visual_inference_rate,0.0,0.0,0.0,0.95,10000,12
metadata,text_only:dense,mrr,0.4698,0.3487,0.5933,0.95,10000,50
metadata,text_only:dense,recall_at_5,0.52,0.38,0.66,0.95,10000,50
metadata,text_only:dense,recall_at_10,0.64,0.5,0.76,0.95,10000,50
metadata,text_only:dense,recall_at_20,0.76,0.64,0.88,0.95,10000,50
metadata,text_only:dense,ndcg_at_5,0.4642,0.3342,0.5931,0.95,10000,50
metadata,text_only:dense,ndcg_at_10,0.5019,0.3782,0.6241,0.95,10000,50
metadata,text_only:hybrid_rrf,mrr,0.529,0.4052,0.6523,0.95,10000,50
metadata,text_only:hybrid_rrf,recall_at_5,0.64,0.5,0.78,0.95,10000,50
metadata,text_only:hybrid_rrf,recall_at_10,0.72,0.6,0.84,0.95,10000,50
metadata,text_only:hybrid_rrf,recall_at_20,0.76,0.64,0.88,0.95,10000,50
metadata,text_only:hybrid_rrf,ndcg_at_5,0.5466,0.4204,0.6726,0.95,10000,50
